ID,comment
1,အခုထိနားထောင်ဆဲ
2,မှာ ရှာပီးလာနားထောင်တဲ့သူတွေရှိလား
3,တန်းတုန်းကတည်းကအားပေးလာတာ
4,💆😉
5,🎉
6,ခံစားချက်နဲ့တိုက်ဆိုင်တဲ့သီချင်းတပုဒ်ကို ကို  ထပ်ပြီးထုတ်လိုက်ပြီပဲ နှစ်ကျော်မေ့ထားခဲ့အတိတ်ကိုပြန်ဆွဲထုတ်လိုက်သလိုပဲ ရေ ရင်ထဲမှာ ကလိကလိနဲ့နာကျင်နေရတုံးပဲ။
7,🙂
8,😅😅😊🎉🎉
9,🎉🎉
10,🎉
11,သူ့ကိုသတိရသွားပြီ😍
12,🎉🎉🎉
13,အရမ်းကြိုက်တဲ့ သီချင်းလေး
14,🎉
15,နားထောင်တုန်းပဲ ခုထိ 😂
16,ကိုဆေးဝယ်တိုက်မယ်💀
17,ခု ပြန်နားထောင် ခု ပြန်ကြိုက် 🔥
18,ကြိုက်ကြိုက်
19,ရဲရင့်အောင်နဲ့ဘာတော်သလဲ
20,ကျောင်းတက်တုန်းက အရူးမူးဖြစ်ခဲ့တဲ့သီချင်း
21,💔
22,🐻
23,🙌🏻🔥
24,🔥🔥🔥
25,🥰🥰
26,😘
27,အရမ်းကြွေတယ်လေ😾😾
28,🤩🤩🤩
29,နားထောင်းဆဲ
30,🤓
31,ဘဲရီးက ရုပ်ပေါက်နေတာပေါ့
32,မိမိုက်တယ်
33,မင်းအောင်မြင်နိူင်တယ်ကြိုးစား
34,အကို့သီချင်းတိုင်းကကိုကောင်းနေတာ
35,ငါကတော့ မင်းကိုစိတ်ပူနေရတာမင်းကတော့ သက်ဆိုင်သူအနားမှာတကယ်တော့ တသတ်ဖတ်အချစ်ကစိတ်ကူးယဥ်ဆန်နေလားကွာ
36,👍
37,သားသားကျောင်းသွားမယ်
38,😍💚
39,အားေပးေနပါတယ္
40,သီခ်င္းေတြးအမ်ားႀကီးေရး အမ်ားႀကီး ဆို
41,အားေပးေနတယ္ အကို က်န္းမာေရးဂ႐ုစိုက္ေနာ္
42,မမ
43,ဖာကောင်းနင်ငှားတဲ့ဖာသယ်မတွေဆွေးရိနေတဲ့ဖာသယ်မစောက်ပတ်ပြဲတွေပြော့ပလက်နေတာဘဲနင်ကဖာကောင်းဆိုတော့ဘယ်လောက်ဆော်ထားဘီလဲဖာကောင်းကြီး
44,အရမ်းြကိုက်တယ်ညီရေမိုက်တယ်
45,ဖွင့်နေကျ သီချင်းလေး
46,ပို႔ေပးပါ
47,အရမ္းျကိုက္
48,ငါကရိုးသားသူတယောက်မိုနင်လိုလူကိုငါရပ်လိုက်ပါပီနင်ကဖာသယ်မပွဲစားပဲငါမှာအရာရှိနဲ့ရနေပီငါ့ဘဝကပြည့်စုံပါတယ်မမ
49,ပီ
50,နင့်ရဲဖြေဆိုခန်းမှာအဖြေထွက်နေပီငါ့ကိုဒုတ်ခမပေးပါနဲ့နင်ကအိုတောမြတ်နုဘဲကြိုက်မှာဘဲလာပီးအစဖော်မနေနဲ့ငါ့ဘဝနဲ့ငါရှိပါစေဝက်သားဒုတ်ထိုးကြွေးပါနင်စောက်ကျင့်တွေပေါ်လာပွရပ်ပါမမ
51,မောင်ဝအောင်မနေနဲ့နော်ဝအချိန်မှာမလှဘူးပိန်မှကြည့်လို့ကောင်းတယ်မမ
52,ဖာကောင်းကြီးဝမ်းသာမနေနဲ့နင်ဖာကောင်းဆန်ဆန်စောက်ပတ်ယက်ပြပါလားနင်ကိုအကုန်သိသွားအောင်နင့်ကိုရွံတယ်ဖာသယ်မဖင်ကစောက်ပတ်ရေယက်တဲ့အကောင်ဖာကောင်းကြီးရွံတယ်မလာပါနဲ့ခွေးကမွေးတဲ့ခွေးကြီး
53,အားပေးနေတယ် ကိုရီး အရမ်းနားထောင်ကောင်းတယ်
54,👑💪
55,🎉
56,ရိုးမသွားဘူး
57,🎉🎉
58,🥇
59,🤍
60,ကျတော်တောင် နှစ်ကြီးလာခဲ့ပြီဘဲ့🎉
61,အခုထိ
62,ဒီဘဲ စောက်ရမ်းမိုက်တဲ့ဘဲ ဖြစ်လာမယ်လို့ ဘယ်သူထင်ခဲ့မှာလဲ
63,အဲ့အကိုသိချင်းအသစ်ထွက်တဲ့ ကောင်မလေးကိုချူပ်ထားတဲ့အခန်းပါတဲ့သီခိင်းကဘာသီချင်းလဲသိတဲ့သူရှိရင်ပြောပြကြပါ😢
