ID,comment,sentiment
1,💆😉,positive
2,🎉,positive
3,ခံစားချက်နဲ့တိုက်ဆိုင်တဲ့သီချင်းတပုဒ်ကို ကို ထပ်ပြီးထုတ်လိုက်ပြီပဲ နှစ်ကျော်မေ့ထားခဲ့အတိတ်ကိုပြန်ဆွဲထုတ်လိုက်သလိုပဲ ရေ ရင်ထဲမှာ ကလိကလိနဲ့နာကျင်နေရတုံးပဲ။,negative
4,🙂,positive
5,😅😅😊🎉🎉,positive
6,🎉🎉,positive
8,သူ့ကိုသတိရသွားပြီ😍,positive
9,🎉🎉🎉,positive
10,အရမ်းကြိုက်တဲ့ သီချင်းလေး,positive
12,နားထောင်တုန်းပဲ ခုထိ 😂,neutral
13,ကိုဆေးဝယ်တိုက်မယ်💀,positive
14,ခု ပြန်နားထောင် ခု ပြန်ကြိုက် 🔥,positive
15,ကြိုက်ကြိုက်,positive
16,ရဲရင့်အောင်နဲ့ဘာတော်သလဲ,neutral
17,ကျောင်းတက်တုန်းက အရူးမူးဖြစ်ခဲ့တဲ့သီချင်း,positive
18,💔,negative
19,🐻,positive
20,🙌🏻🔥,positive
21,🔥🔥🔥,positive
22,🥰🥰,positive
23,😘,positive
24,အရမ်းကြွေတယ်လေ😾😾,positive
25,🤩🤩🤩,positive
26,နားထောင်းဆဲ,positive
27,🤓,positive
28,ဘဲရီးက ရုပ်ပေါက်နေတာပေါ့,neutral
29,မိမိုက်တယ်,positive
30,မင်းအောင်မြင်နိူင်တယ်ကြိုးစား,positive
31,အကို့သီချင်းတိုင်းကကိုကောင်းနေတာ,positive
32,ငါကတော့ မင်းကိုစိတ်ပူနေရတာမင်းကတော့ သက်ဆိုင်သူအနားမှာတကယ်တော့ တသတ်ဖတ်အချစ်ကစိတ်ကူးယဥ်ဆန်နေလားကွာ,negative
33,👍,positive
34,သားသားကျောင်းသွားမယ်,neutral
35,😍💚,positive
36,အားေပးေနပါတယ္,positive
37,သီခ်င္းေတြးအမ်ားႀကီးေရး အမ်ားႀကီး ဆို,positive
38,အားေပးေနတယ္ အကို က်န္းမာေရးဂ႐ုစိုက္ေနာ္,positive
39,မမ,neutral
